iter	Passed	Remaining
0	133	133173
1	137	68377
2	141	47057
3	145	36266
4	150	29927
5	155	25760
6	159	22660
7	165	20497
8	169	18700
9	175	17327
10	180	16219
11	182	15006
12	184	14021
13	186	13148
14	189	12461
15	191	11766
16	192	11142
17	194	10608
18	195	10103
19	196	9646
20	198	9248
21	200	8927
22	202	8588
23	203	8268
24	204	7983
25	205	7707
26	206	7446
27	207	7205
28	208	6977
29	209	6773
30	211	6596
31	213	6458
32	215	6301
33	216	6150
34	217	5993
35	218	5845
36	219	5705
37	219	5569
38	220	5440
39	221	5327
40	223	5223
41	230	5255
42	231	5144
43	232	5043
44	232	4942
45	233	4845
46	234	4757
47	235	4677
48	237	4602
49	239	4541
50	240	4473
51	241	4403
52	242	4332
53	243	4263
54	244	4196
55	245	4131
56	245	4067
57	246	4005
58	247	3952
59	249	3904
60	251	3874
61	253	3832
62	254	3782
63	255	3733
64	256	3683
65	257	3637
66	257	3589
67	258	3539
68	258	3494
69	259	3453
70	261	3415
71	263	3400
72	265	3369
73	266	3332
74	267	3297
75	268	3263
76	269	3227
77	269	3190
78	270	3155
79	271	3122
80	272	3091
81	273	3061
82	275	3039
83	276	3017
84	277	2991
85	278	2962
86	279	2931
87	280	2908
88	281	2881
89	282	2854
90	283	2828
91	284	2804
92	285	2780
93	286	2761
94	289	2753
95	290	2733
96	291	2710
97	292	2688
98	292	2665
99	293	2645
100	294	2624
101	295	2601
102	296	2582
103	297	2564
104	299	2548
105	301	2541
106	302	2526
107	303	2508
108	304	2488
109	305	2469
110	306	2450
111	306	2433
112	307	2415
113	308	2397
114	309	2381
115	310	2363
116	311	2348
117	312	2332
118	312	2315
119	313	2300
120	314	2285
121	315	2270
122	316	2253
123	316	2238
124	317	2224
125	318	2210
126	319	2196
127	320	2181
128	321	2168
129	321	2154
130	322	2142
131	323	2130
132	324	2118
133	325	2106
134	326	2094
135	328	2083
136	329	2074
137	330	2063
138	331	2054
139	332	2043
140	333	2031
141	334	2019
142	334	2007
143	335	1997
144	338	1994
145	339	1985
146	340	1975
147	341	1966
148	342	1955
149	343	1944
150	344	1934
151	344	1924
152	345	1913
153	346	1903
154	347	1892
155	348	1883
156	349	1875
157	351	1875
158	352	1866
159	353	1857
160	354	1849
161	355	1840
162	356	1830
163	357	1821
164	358	1811
165	358	1802
166	359	1794
167	360	1787
168	362	1781
169	364	1781
170	366	1775
171	367	1767
172	368	1759
173	369	1751
174	369	1743
175	370	1734
176	371	1726
177	372	1718
178	373	1711
179	374	1705
180	375	1697
181	376	1694
182	378	1689
183	379	1682
184	380	1675
185	381	1668
186	381	1660
187	382	1652
188	383	1645
189	384	1637
190	385	1630
191	386	1625
192	387	1620
193	389	1617
194	390	1612
195	391	1606
196	392	1600
197	393	1593
198	394	1586
199	394	1579
200	395	1572
201	396	1566
202	397	1560
203	398	1555
204	400	1554
205	401	1549
206	402	1543
207	403	1538
208	404	1532
209	405	1526
210	406	1519
211	407	1513
212	407	1507
213	408	1501
214	409	1496
215	411	1493
216	414	1495
217	415	1491
218	416	1486
219	417	1481
220	418	1476
221	419	1470
222	420	1464
223	421	1459
224	422	1454
225	423	1449
226	424	1445
227	426	1445
